scenario_id,workload,pid,current_tick,arrival_time,burst_time,remaining_burst,waiting_time,io_bound,priority,deadline,slack_time,urgency_score,wait_ratio,burst_ratio,deadline_pressure,queue_depth,queue_avg_burst,label
io_heavy_d000000,io_heavy,P1,0,0,1,1,0,1,3,3,3,3.0,0.0,1.0,0.25,1,1.0,1
io_heavy_d000001,io_heavy,P2,2,2,3,3,0,1,2,21,19,6.3333,0.0,1.5,0.05,2,2.0,0
io_heavy_d000001,io_heavy,P3,2,2,1,1,0,1,2,6,4,4.0,0.0,0.5,0.2,2,2.0,1
io_heavy_d000002,io_heavy,P2,3,2,3,3,1,1,2,21,18,6.0,0.25,1.0,0.0526,1,3.0,1
cpu_heavy_d000003,cpu_heavy,P1,1,1,12,12,0,0,5,24,23,1.9167,0.0,1.0,0.0417,1,12.0,1
cpu_heavy_d000004,cpu_heavy,P2,13,3,13,13,10,0,1,31,18,1.3846,0.4348,1.1304,0.0526,2,11.5,0
cpu_heavy_d000004,cpu_heavy,P3,13,6,10,10,7,0,5,28,15,1.5,0.4118,0.8696,0.0625,2,11.5,1
cpu_heavy_d000005,cpu_heavy,P2,23,3,13,13,20,0,1,31,8,0.6154,0.6061,1.0,0.1111,1,13.0,1
io_heavy_d000006,io_heavy,P1,1,1,2,2,0,1,1,7,6,3.0,0.0,1.0,0.1429,1,2.0,1
io_heavy_d000007,io_heavy,P2,5,5,3,3,0,0,2,26,21,7.0,0.0,1.0,0.0455,2,3.0,1
io_heavy_d000007,io_heavy,P3,5,5,3,3,0,1,2,15,10,3.3333,0.0,1.0,0.0909,2,3.0,0
io_heavy_d000008,io_heavy,P3,8,5,3,3,3,1,2,15,7,2.3333,0.5,1.0,0.125,1,3.0,1
io_heavy_d000009,io_heavy,P1,0,0,1,1,0,1,5,7,7,7.0,0.0,0.25,0.125,3,4.0,1
io_heavy_d000009,io_heavy,P2,0,0,1,1,0,1,2,5,5,5.0,0.0,0.25,0.1667,3,4.0,0
io_heavy_d000009,io_heavy,P3,0,0,10,10,0,0,5,68,68,6.8,0.0,2.5,0.0145,3,4.0,0
io_heavy_d000010,io_heavy,P2,1,0,1,1,1,1,2,5,4,4.0,0.5,0.1818,0.2,2,5.5,1
io_heavy_d000010,io_heavy,P3,1,0,10,10,1,0,5,68,67,6.7,0.0909,1.8182,0.0147,2,5.5,0
io_heavy_d000011,io_heavy,P3,2,0,10,10,2,0,5,68,66,6.6,0.1667,1.0,0.0149,1,10.0,1
io_heavy_d000012,io_heavy,P1,4,4,5,5,0,0,5,21,17,3.4,0.0,1.1538,0.0556,3,4.33,0
io_heavy_d000012,io_heavy,P2,4,4,4,4,0,1,3,22,18,4.5,0.0,0.9231,0.0526,3,4.33,1
io_heavy_d000012,io_heavy,P3,4,4,4,4,0,1,1,21,17,4.25,0.0,0.9231,0.0556,3,4.33,0
io_heavy_d000013,io_heavy,P1,8,4,5,5,4,0,5,21,13,2.6,0.4444,1.4706,0.0714,5,3.4,0
io_heavy_d000013,io_heavy,P3,8,4,4,4,4,1,1,21,13,3.25,0.5,1.1765,0.0714,5,3.4,0
io_heavy_d000013,io_heavy,P4,8,5,1,1,3,1,2,12,4,4.0,0.75,0.2941,0.2,5,3.4,1
io_heavy_d000013,io_heavy,P5,8,5,3,3,3,1,4,25,17,5.6667,0.5,0.8824,0.0556,5,3.4,0
io_heavy_d000013,io_heavy,P6,8,5,4,4,3,1,3,19,11,2.75,0.4286,1.1765,0.0833,5,3.4,0
io_heavy_d000014,io_heavy,P1,9,4,5,5,5,0,5,21,12,2.4,0.5,1.25,0.0769,4,4.0,0
io_heavy_d000014,io_heavy,P3,9,4,4,4,5,1,1,21,12,3.0,0.5556,1.0,0.0769,4,4.0,0
io_heavy_d000014,io_heavy,P5,9,5,3,3,4,1,4,25,16,5.3333,0.5714,0.75,0.0588,4,4.0,1
io_heavy_d000014,io_heavy,P6,9,5,4,4,4,1,3,19,10,2.5,0.5,1.0,0.0909,4,4.0,0
io_heavy_d000015,io_heavy,P1,12,4,5,5,8,0,5,21,9,1.8,0.6154,1.1538,0.1,3,4.33,0
io_heavy_d000015,io_heavy,P3,12,4,4,4,8,1,1,21,9,2.25,0.6667,0.9231,0.1,3,4.33,1
io_heavy_d000015,io_heavy,P6,12,5,4,4,7,1,3,19,7,1.75,0.6364,0.9231,0.125,3,4.33,0
io_heavy_d000016,io_heavy,P1,16,4,5,5,12,0,5,21,5,1.0,0.7059,1.1111,0.1667,2,4.5,0
io_heavy_d000016,io_heavy,P6,16,5,4,4,11,1,3,19,3,0.75,0.7333,0.8889,0.25,2,4.5,1
io_heavy_d000017,io_heavy,P1,20,4,5,5,16,0,5,21,1,0.2,0.7619,1.0,0.5,1,5.0,1
